"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1226","2026-03-05","3:45 PM","4:45 PM","Running large language models locally, on your computer!","Learn how to run powerful language models like Llama, Mistral, and Gemma directly on your own computer. This hands-on session covers the basics of local LLM deployment using LM Studio, hardware requirements (spoiler: you don't need a supercomputer), and practical reporting applications. We'll discuss the trade-offs between local and cloud-based models, explore use cases where local models excel, and demonstrate workflows for integrating LLMs into your reporting toolkit. This session is good for beginners and anyone who wants to learn to run LLMs locally. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Beginner","Aarushi Sahejpal, American University","","104","OSX","1",""
"1234","2026-03-05","3:45 PM","4:45 PM","Introducing the new IRE Resource Center","The new IRE Resource Center is here! Members can now access an enhanced, user-friendly search interface with more opportunities to easily surface thousands of tipsheets, contest entries and other training materials. In this session, the volunteers who built the app will demonstrate its new features, talk about how it was made and solicit live feedback from the audience.","true","Demo","","Ben Welsh, Reuters; Derek Willis, University of Maryland","","White River I","","1",""
"1289","2026-03-05","3:45 PM","4:45 PM","Finding the story: Using DNS search for investigative journalism","","false","Hands-on","Beginner","","","102","BYO","1",""
"1061","2026-03-05","5:00 PM","6:00 PM","Analyzing election data with Polars and Python","Polars is a modern dataframe library for Python that's fast, focused, and easy to use. Polars has many advantages over the older pandas dataframe library, including speed and type safety. But perhaps the biggest benefit is that it has a simple, logical, and memorable API that makes it much more enjoyable to use. Working with tabular data in Polars feels as easy and expressive as it does with R's tidyverse. In this session, we will teach the fundamentals of analysing tabular data with Polars, including: •⁠ ⁠Loading and saving data •⁠ ⁠Selecting columns •⁠ ⁠Filtering rows •⁠ ⁠Sorting dataframes •⁠ ⁠Creating new columns by combining and calculating values from existing columns •⁠ ⁠Grouping rows and aggregating their data •⁠ ⁠Using joins to combine two or more dataframes We will teach these skills through examples of how we have used the library in original data journalism work. This session is good for people with Python experience. Laptops will be provided.","false","Hands-on","Intermediate","Oliver Hawkins, Financial Times; Eade Hemingway, Financial Times","Data analysis","104","OSX","1",""
"1069","2026-03-05","5:00 PM","6:00 PM","Using data to investigate the global surveillance industry","","true","Panel","","Gabriel Geiger, Lighthouse Reports","","White River G","","1",""
"1101","2026-03-05","5:00 PM","6:00 PM","AI agents and pipelines with no-code tools","Want an automatic digest of news on your beat or what your city council has been up to? Get pinged on Slack with a summary when an editor takes a pass at your story? All without touching a line of code? In this session we'll learn to use no-code AI pipeline tools like n8n and ActivePieces to automate journalistic processes. Learn what agents and pipelines are, what they do, and the bevy of vocabulary and technical terms you'll need to put your own workflows to... work! - What APIs are and how they can supercharge your workflow - Schedule monthly, weekly, or hourly automatic processes - How to set up and use webhooks to trigger actions - Differences between providers and models - Unraveling technical settings like temperature and structured output Participants will learn the fundamental basics of how no-code AI pipeline tools work and integrate with other services, and will be well-prepared to start exploring on their own. This session is good for people with some experience working with data. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Jonathan Soma, Columbia University","AI","202","BYO","2",""
"1113","2026-03-05","5:00 PM","6:00 PM","Free or cheap web-scraping tools - no coding required!","In this demo, we will go over a range of free or cheap scraping tools that reporters can use to scrape websites without programming. Some of those include Chrome extensions- Instant Data Scraper and WebScraper- as well as scraping with Google sheets. This session is good for beginners. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Beginner","Aïcha Camara, McClatchy; Alexandra Glorioso, Miami Herald","","102","BYO","1",""
"1127","2026-03-05","5:00 PM","6:00 PM","From chaos to narrative: Using R for story discovery in document collections","This session will introduce journalists to using R to ingest large numbers of lawsuits, transcripts, news articles and similar material and to discover story leads through content analysis methods. Journalists will learn the benefits and drawbacks of sentiment analysis, keyword in context text retrievals, language dependency parsing, and extraction of top two- and three-word phrases. These tools in R's tidytext package can help reporters discover themes and tips in large groups of documents that otherwise could do undetected. This session is good for those with some experience using R. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Rob Wells, University of Maryland","","201","BYO","2",""
"1129","2026-03-05","5:00 PM","6:00 PM","NIBRS data 101","","true","Panel","","Jeff Asher, AH Datalytics; Paul Overberg, The Wall Street Journal","","White River E","","1",""
"1218","2026-03-05","5:00 PM","6:00 PM","How to build databases when none exist","Sometimes you search far and wide for established databases to help you grasp the scope of the problem you're investigating, and you either find an insufficient source or none at all. Three reporters who have painstakingly built databases on their own share what to do and what not to do to help your next database-building project run as smoothly as it can.","true","Panel","","Caitlin McGlade, The Charlotte Observer; Steven Rich, The New York Times","","White River D","","1",""
"1252","2026-03-05","5:00 PM","6:00 PM","Finding and using undocumented APIs","This tutorial will introduce reporters to an exciting and often overlooked data source found on every website. You will learn how to find and use hidden APIs as a reporting resource, and hear about how this data source has been used in past reporting. We'll be working off this scripted documented: https://inspectelement.org/apis This session is for reporters who want to diversify their data sources. You don't need to write code: we'll teach participants to find hidden APIs in your web browser, but knowing some coding will let you to unlock detailed and rich datasets hidden in plain sight. Laptops will be provided.","false","Hands-on","Beginner","","","204","PC","2",""
"1304","2026-03-05","5:00 PM","6:00 PM","Monitoring police accountability laws across the U.S.","","true","Panel","","Beryl Lipton, Democrat & Chronicle; Sam Stecklow, Invisible Institute; Jodi Upton, Syracuse University","","White River B","","1",""
"1312","2026-03-05","6:00 PM","7:15 PM","Welcome reception","Reconnect with longtime friends and make some new NICAR connections. The reception includes a ticket for a complimentary drink and light appetizers will be available. We hope to see you there!","false","Special","","","","Griffin Hall","","2",""
"1314","2026-03-05","6:00 PM","8:00 PM","NIghtCAR (game night) ✨","Join fellow NICAR attendees for an evening of games, puzzles, etc. IRE provides the board games, you provide the fun! Feel free to grab a snack and a beverage from the reception or from the hotel and join the fun.","true","Special","","","","White River D","","1",""
"1277","2026-03-06","7:45 AM","8:45 AM","Mentor program breakfast (invitation-only event)","If you signed up for the conference mentor program, come meet your match at this invitation-only breakfast.","true","Special","","","","White River I","","1",""
"1021","2026-03-06","9:00 AM","10:00 AM","Finding the story: Utilizing new police misconduct and employment databases","Learn about two new groundbreaking databases to track police misconduct and employment histories - the Police Records Access Project in California, and the National Police Index. Police Records Access Project: A collaboration of journalists, academics, attorneys and community groups published more than 1.5 millions of pages of law enforcement and oversight records in California. Learn how to use this tool to background officers on deadline and discover leads for larger investigations. National Police Index: This is a national data tool showing police employment history data. Learn how to use this tool to identify potential ""wandering officers"". This hands-on session will also briefly cover other related police data projects around the country. This session is good for those with some experience using spreadsheets. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Demo","Beginner","Maheen Khan, Invisible Institute; Lisa Pickoff-White, UC Berkeley; Sam Stecklow, Invisible Institute","","202","BYO","2",""
"1075","2026-03-06","9:00 AM","10:00 AM","Tips for analyzing videos","","true","Panel","","Leon Yin, Bloomberg","","White River D","","1",""
"1087","2026-03-06","9:00 AM","10:00 AM","Automating mass scraping with AI","This session will explore tools to create scrapers and structured data from websites with the help of LLMs. Scraping data off the web is not new for journalists, but what about when the data is spread out across hundreds of websites in dozens of formats? Writing and maintaining fleets of scrapers may have previously required a team of data journalists, but new methods allow us to use LLMs to analyze the structure of a website and automatically generate a working scraper. This means we can pursue stories involving more ambitious data collection on deadline. In this session, we will demonstrate a package we built at the Tow Center for Digital Journalism called ""Scraper Factory,"" which uses LLMs to write Python scrapers. We will discuss stories where we have used this approach and solicit input from the community on best practices and innovations with these new methods. This session is good for those who have a familiarity of the command line, basic scraping skills, and are wanting to work in Python. Laptops will be provided.","false","Hands-on","Advanced","Tory Lysik, Columbia University; Dhrumil Mehta, Columbia University; C.J. Robinson, Tow Center for Digital Journalism","AI","104","OSX","1",""
"1089","2026-03-06","9:00 AM","10:00 AM","Using immigration data to tell stories in your community","","true","Hands-on","Beginner","Julia Ingram, CBS News; Joe Yerardi, The Philadelphia Inquirer","","White River E","","1",""
"1138","2026-03-06","9:00 AM","10:00 AM","How to HMDA: Finding the story in mortgage lending data","Every year, the federal government collects and publishes information about millions of home mortgage loan applications across the country: The places they're coming from, the people submitting them and the financial institutions accepting - or denying - them. In this session, you'll learn: - What Home Mortgage Disclosure act data is, what it includes and why it's collected - How The Banner used HMDA data to identify a newly popular, poorly regulated loan product and report on a foreclosure crisis in Baltimore + other questions HMDA data can answer - The R code you need to answer those questions! Folks with an understanding of basics (filtering, sorting, grouping and joining) in R will get the most out of this session. Laptops will be provided.","false","Hands-on","Intermediate","Sahana Jayaraman, The Baltimore Banner","","209","OSX","2",""
"1187","2026-03-06","9:00 AM","10:00 AM","Five demos for finding things with A.I. outside of chatbots","The most exciting new A.I. tools don't involve chatbots. We all have big documents and datasets. Sometimes we think we know approximately what's inside - but we just need to find it. In this session, we'll show you five more technical ways that A.I. can be used to supercharge the investigative process, with examples from The New York Times and The Washington Post. We will demo semantic search for text, spreadsheets and images; embedding and clustering; and identifying visual objects in media - all in tools you can use yourself to solve real journalistic problems, without having to endure ChatGPT's excessive use of em-dashes and its other limitations.","true","Demo","","Dylan Freedman, The New York Times; Jeremy Merrill, The Washington Post; Duy Nguyen, The New York Times","AI","White River G","","1",""
"1216","2026-03-06","9:00 AM","12:30 PM","Is your map rigged? A hands-on guide to finding gerrymandering with R","","false","Hands-on","","Andrew Pantazi, Axios","Mapping","203","PC","2","45"
"1231","2026-03-06","9:00 AM","10:00 AM","How we cover local elections using Svelte and Datasette, and how you can do it too","","false","Demo","","Adam Marton, University of Maryland; Jerry Zremski, University of Maryland","","201","BYO","2",""
"1249","2026-03-06","9:00 AM","10:00 AM","QGIS 1: Spatial analysis for beginners","Learn to how to make your own maps using free, open-source software called QGIS. This class will teach you how to get started importing and displaying geographic data. Not all datasets need to be mapped, but some do! We'll go over how to find publicly available data, prepare it for mapping, and join together different datasets. This session is good for: Beginners looking to learn the basics of visualizing geographic data. Laptops will be provided.","false","Hands-on","Beginner","","","204","PC","2",""
"1259","2026-03-06","9:00 AM","10:00 AM","Google Sheets 1: Getting started with spreadsheets (repeat)","In this introduction to spreadsheets, you'll begin analyzing data with Google Sheets, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median. This session is good for: Data beginners. Attendees will need to bring their own laptop (no tablets) for the training and will need a free Google account to participate.","false","Hands-on","Beginner","","Data analysis","102","BYO","1",""
